ngram	ngram_length
X	1
XV	2
XVC	3
CY	2
CYC	3
CVX	3
CVY	3
CVV	3
XVV	3
VV	2
VCX	3
Y	1
C	1
XC	2
XCV	3
YV	2
VVC	3
CX	2
YVC	3
CXV	3
CCY	3
CV	2
CYV	3
VX	2
VXC	3
VC	2
VVX	3
VCY	3
YVV	3
XVY	3
VCC	3
V	1
VXV	3
VP	2
VPC	3
CC	2
VCV	3
CCV	3
YC	2
YCC	3
CYY	3
CXY	3
VVV	3
CCC	3
